name,field_media_description,field_media_file,nothing,Keywords,Audience,"Document Type"
"National Earthquake Technical Assistance Program Resource Guide for Earthquake Program Managers","FEMA developed the National Earthquake Technical Assistance Program (NETAP) as a mechanism for delivering direct assistance to the public to increase their knowledge and ability to analyze their risk, make a plan, and take actions aimed at reducing their earthquake risk and supporting overall community resilience. NETAP is a program managed by FEMA to rapidly deploy training and technical assistance to organizations and communities. The NETAP Resource Guide for Earthquake Program Managers provides information on how regions, states, and territories can request NETAP assistance.","Download File","National Earthquake Technical Assistance Program Resource Guide for Earthquake Program Managers
    FEMA developed the National Earthquake Technical Assistance Program (NETAP) as a mechanism for delivering direct assistance to the public to increase their knowledge and ability to analyze their risk, make a plan, and take actions aimed at reducing their earthquake risk and supporting overall community resilience. NETAP is a program managed by FEMA to rapidly deploy training and technical assistance to organizations and communities. The NETAP Resource Guide for Earthquake Program Managers provides information on how regions, states, and territories can request NETAP assistance.
    
      
        May 18, 2021

      Download File","Building Science, Earthquake","Community Planning & Policy",Publication
"Natural Hazard Mitigation Saves Fact Sheet","Natural hazard mitigation saves $6 on average for every $1 spent on federal mitigation grants, according to an analysis by the National Institute of Building Sciences. An earlier (2005) study by NIBS found a benefit-cost ratio (BCR) of 4:1.","Download File","Natural Hazard Mitigation Saves Fact Sheet
    Natural hazard mitigation saves $6 on average for every $1 spent on federal mitigation grants, according to an analysis by the National Institute of Building Sciences. An earlier (2005) study by NIBS found a benefit-cost ratio (BCR) of 4:1.
    
      
        Nov 9, 2021

      Download File","Building Science, Hazard Mitigation, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"Natural Hazard Mitigation Saves Study","Summary of Findings for the National Institute of Building Science’s Natural Hazard Mitigation Saves 2017 Interim Report provides benefit-cost ratios (BCRs) for several hazard types and mitigation measures. Focal points of this interim report are the net benefits of federal hazard mitigation grant projects and exceeding building code requirements. Specifically, the costs and benefits of designing new construction to exceed select provisions of the 2015 International Building Code (IBC), the 2015 International Residential Code (IRC) and implementation of the 2015 International Wildland-Urban Interface Code (IWUIC), which resulted in a national benefit of $4 for every $1 invested. Additionally studied were the net benefits of impacts of 23 years of federal mitigation grants provided by the Federal Emergency Management Agency (FEMA), Economic Development Administration (EDA) and Department of Housing and Urban Development (HUD), resulting in a national benefit of $6 for every $1 invested. The full report can be found at http://www.nibs.org/page/mitigationsaves.","Download File","Natural Hazard Mitigation Saves Study
    Summary of Findings for the National Institute of Building Science’s Natural Hazard Mitigation Saves 2017 Interim Report provides benefit-cost ratios (BCRs) for several hazard types and mitigation measures. Focal points of this interim report are the net benefits of federal hazard mitigation grant projects and exceeding building code requirements. Specifically, the costs and benefits of designing new construction to exceed select provisions of the 2015 International Building Code (IBC), the 2015 International Residential Code (IRC) and implementation of the 2015 International Wildland-Urban Interface Code (IWUIC), which resulted in a national benefit of $4 for every $1 invested. Additionally studied were the net benefits of impacts of 23 years of federal mitigation grants provided by the Federal Emergency Management Agency (FEMA), Economic Development Administration (EDA) and Department of Housing and Urban Development (HUD), resulting in a national benefit of $6 for every $1 invested. The full report can be found at http://www.nibs.org/page/mitigationsaves.
    
      
        Apr 20, 2021

      Download File","Building Science, Hazard Mitigation, Multi-Hazard","Community Planning & Policy",Publication
"Natural Hazard Mitigation Saves: 2017 Interim Report Poster",,"Download File","Natural Hazard Mitigation Saves: 2017 Interim Report Poster
    
    
      
        Jun 9, 2021

      Download File","Building Science, Hazard Mitigation, Multi-Hazard",,
"NEHRP  Overview","Established by Congress in 1977, the National Earthquake Hazard Reduction Program (NEHRP) works to reduce risks to life and property resulting from earthquakes. Focusing on research, building code standards, technical guidance, and education, NEHRP is a collaborative effort among the Federal Emergency Management Agency (FEMA), the National Institute of Standards and Technology (NIST), the National Science Foundation (NSF), and the United States Geological Survey (USGS).","Download File","NEHRP  Overview
    Established by Congress in 1977, the National Earthquake Hazard Reduction Program (NEHRP) works to reduce risks to life and property resulting from earthquakes. Focusing on research, building code standards, technical guidance, and education, NEHRP is a collaborative effort among the Federal Emergency Management Agency (FEMA), the National Institute of Standards and Technology (NIST), the National Science Foundation (NSF), and the United States Geological Survey (USGS).
    
      
        May 18, 2021

      Download File","Building Science, Earthquake","State Program Managers","Fact Sheet"
"NETAP Resource Guide for Earthquake Program Managers",,"Download File","NETAP Resource Guide for Earthquake Program Managers
    
    
      
        Nov 23, 2022

      Download File","Building Science, Earthquake","State Program Managers",Training
"NETAP Resource Guide for Earthquake Program Managers",,"Download File","NETAP Resource Guide for Earthquake Program Managers
    
    
      
        Jan 16, 2024

      Download File","Building Science, Earthquake",,
"NETAP Training Flyers","The National Earthquake Technical Assistance Program (NETAP), http://www.fema.gov/national-earthquake-technical-assistance-program, is designed to help state, local, and tribal governments obtain the knowledge, tools, and support that they need to plan and implement effective earthquake mitigation strategies. NETAP customers can customize these flyer templates to announce, recruit, and market available NETAP courses. For more information, visit NETAP Training Courses and Associated Materials, http://www.fema.gov/national-earthquake-technical-assistance-program.","Download File","NETAP Training Flyers
    The National Earthquake Technical Assistance Program (NETAP), http://www.fema.gov/national-earthquake-technical-assistance-program, is designed to help state, local, and tribal governments obtain the knowledge, tools, and support that they need to plan and implement effective earthquake mitigation strategies. NETAP customers can customize these flyer templates to announce, recruit, and market available NETAP courses. For more information, visit NETAP Training Courses and Associated Materials, http://www.fema.gov/national-earthquake-technical-assistance-program.
    
      
        May 18, 2021

      Download File","Building Science, Earthquake","Community Planning & Policy",Flyer
"NFIP 2012 I-Codes and ASCE 24 Checklist","This checklist will guide floodplain managers, building officials and designers as they compare the requirements of the National Flood Insurance Program (NFIP) to the flood provisions of the International Building Code (IBC), the International Mechanical Code (IMC), the International Plumbing Code (IPC), the International Fuel Gas Code (IFGC), the International Residential Code (IRC), the International Existing Building Code (IEBC), and the referenced standard, ASCE 24-05 Flood Resistant Design and Construction.","Download File","NFIP 2012 I-Codes and ASCE 24 Checklist
    This checklist will guide floodplain managers, building officials and designers as they compare the requirements of the National Flood Insurance Program (NFIP) to the flood provisions of the International Building Code (IBC), the International Mechanical Code (IMC), the International Plumbing Code (IPC), the International Fuel Gas Code (IFGC), the International Residential Code (IRC), the International Existing Building Code (IEBC), and the referenced standard, ASCE 24-05 Flood Resistant Design and Construction.
    
      
        Jun 9, 2021

      Download File","Building Science, Flood",,
"Non-Structural Earthquake Mitigation Guidance Manual","The purpose of this Non-Structural Earthquake Mitigation Guidance Manual is to help the Federal Emergency Management Agency (FEMA), State, and local officials, and other stakeholders answer two central questions about non-structural seismic hazard mitigation projects. 1. Are the levels of seismic hazard (i.e., the frequency and severity of earthquakes) high enough in a given community to warrant consideration of seismic hazard mitigation projects for some buildings or facilities? If not, then a community’s mitigation efforts and resources can better be focused on other hazards that pose a more serious risk for the community. 2. If the level of seismic hazard is sufficiently high to warrant consideration, how does a community identify the best cost-effective, non-structural seismic hazard mitigation projects from the wide range of possible projects?","Download File","Non-Structural Earthquake Mitigation Guidance Manual
    The purpose of this Non-Structural Earthquake Mitigation Guidance Manual is to help the Federal Emergency Management Agency (FEMA), State, and local officials, and other stakeholders answer two central questions about non-structural seismic hazard mitigation projects. 1. Are the levels of seismic hazard (i.e., the frequency and severity of earthquakes) high enough in a given community to warrant consideration of seismic hazard mitigation projects for some buildings or facilities? If not, then a community’s mitigation efforts and resources can better be focused on other hazards that pose a more serious risk for the community. 2. If the level of seismic hazard is sufficiently high to warrant consideration, how does a community identify the best cost-effective, non-structural seismic hazard mitigation projects from the wide range of possible projects? 
    
      
        May 18, 2021

      Download File","Building Science, Earthquake, Mitigation","Building Professionals & Engineers",Publication
"Northridge Earthquake Damage",,,"Northridge Earthquake Damage
    
    
      
        Jul 22, 2024

      Download Photo","Building Science, Earthquake",,
"Overview of FEMA P-312 |Protect Your Property from Flooding:  Homeowner's Guide to Retrofitting","Overview of FEMA P-312 | Homeowner's Guide to Retrofitting","Download File","Overview of FEMA P-312 |Protect Your Property from Flooding:  Homeowner's Guide to Retrofitting
    Overview of FEMA P-312 | Homeowner's Guide to Retrofitting
    
      
        Sep 14, 2021

      Download File","Building Science, Flood","Community Planning & Policy",Publication
"Overview of FEMA P-499 | Protect Your Property from Flooding: Homebuilder's Guide to Coastal Construction","Overview of FEMA P-499 | Homebuilder's Guide to Coastal Construction","Download File","Overview of FEMA P-499 | Protect Your Property from Flooding: Homebuilder's Guide to Coastal Construction
    Overview of FEMA P-499 | Homebuilder's Guide to Coastal Construction
    
      
        Sep 14, 2021

      Download File","Building Science, Flood","Community Planning & Policy",Publication
"Overview of FEMA P-804 (2023), Wind Retrofit Guide for Residential Buildings in Hurricane-Prone Regions","This document is an overview of the 2023 edition of FEMA P-804, Wind Retrofit Guide for Residential Buildings in Hurricane-Prone Regions.","Download File","Overview of FEMA P-804 (2023), Wind Retrofit Guide for Residential Buildings in Hurricane-Prone Regions
    This document is an overview of the 2023 edition of FEMA P-804, Wind Retrofit Guide for Residential Buildings in Hurricane-Prone Regions.
    
      
        Jul 31, 2023

      Download File","Building Science, High Winds","Building Professionals & Engineers, Community Planning & Policy, Individuals & Homeowners, State Program Managers",Flyer
"Overview of FEMA P-85 |  Protect Your Property from Flooding: Protecting Manufactured Homes from Floods and Other Hazards","Overview of FEMA P-85 | Protecting Manufactured Homes from Floods and Other Hazards","Download File","Overview of FEMA P-85 |  Protect Your Property from Flooding: Protecting Manufactured Homes from Floods and Other Hazards
    Overview of FEMA P-85 | Protecting Manufactured Homes from Floods and Other Hazards
    
      
        Sep 26, 2021

      Download File","Retrofitting and Floodproofing Structures, Building Science, Floodplain Management, Flood","Community Planning & Policy",Publication
"Panel of Building Experts Panel",,,"Panel of Building Experts Panel
    
    
      
        May 2, 2022

      Download Graphic","Building Codes, Building Science",,
"Performance of Buildings and Nonstructural Components in the 2014 South Napa Earthquake (FEMA P-1024)","On August 24, 2014, a magnitude-6.0 earthquake occurred in Napa, California. In response to this earthquake, the Special Projects task of the National Earthquake Technical Assistance Program (NETAP) was used to fund an investigation. At the time, this event had not yet been declared a federal disaster, and disaster funds were therefore not available. Because of limitations to this funding, some issues, such as performance of lifelines or building investigations in additional areas, could not be investigated. Past earthquakes in California have resulted in significant improvements to national and local building codes. For the 2014 South Napa earthquake, work was focused on documenting the observed performance of buildings and nonstructural components in order to lead into future improvements in future building codes, and to do so within six months.

The goal of the project was to assess and document the performance of a population of buildings impacted by the earthquake and develop a series of recommendations to further improve mitigation.","Download File","Performance of Buildings and Nonstructural Components in the 2014 South Napa Earthquake (FEMA P-1024)
    On August 24, 2014, a magnitude-6.0 earthquake occurred in Napa, California. In response to this earthquake, the Special Projects task of the National Earthquake Technical Assistance Program (NETAP) was used to fund an investigation. At the time, this event had not yet been declared a federal disaster, and disaster funds were therefore not available. Because of limitations to this funding, some issues, such as performance of lifelines or building investigations in additional areas, could not be investigated. Past earthquakes in California have resulted in significant improvements to national and local building codes. For the 2014 South Napa earthquake, work was focused on documenting the observed performance of buildings and nonstructural components in order to lead into future improvements in future building codes, and to do so within six months.

The goal of the project was to assess and document the performance of a population of buildings impacted by the earthquake and develop a series of recommendations to further improve mitigation.

    
      
        Jan 6, 2023

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"Permitting and Inspection Process for Disaster-Resilient Residential Homes (CNMI MAT)","This fact sheet informs homeowners or their designated representatives—such as a contractor—about the permitting and inspection process, which helps protect the homes, lands, and natural resources of the Commonwealth of the Northern Mariana Islands (CNMI). By completing these steps and responsibilities as described, your home will be more resilient to natural disasters.","Download File","Permitting and Inspection Process for Disaster-Resilient Residential Homes (CNMI MAT)
    This fact sheet informs homeowners or their designated representatives—such as a contractor—about the permitting and inspection process, which helps protect the homes, lands, and natural resources of the Commonwealth of the Northern Mariana Islands (CNMI). By completing these steps and responsibilities as described, your home will be more resilient to natural disasters.
    
      
        Jan 26, 2024

      Download File","Disaster Support Program (MAT) Library, Typhoon Yutu, Building Science, Flood, High Winds, Hurricane, Mitigation, Mitigation Assessment Team",,"Fact Sheet"
"Primer for Design Professionals (FEMA-P-389)","Primer for Design Professionals:
Communicating with Owners and Managers of New Buildings on Earthquake Risk
PROVIDING PROTECTION TO PEOPLE AND BUILDINGS","Download File","Primer for Design Professionals (FEMA-P-389)
    Primer for Design Professionals:
Communicating with Owners and Managers of New Buildings on Earthquake Risk
PROVIDING PROTECTION TO PEOPLE AND BUILDINGS
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"Protect Your Business from All Natural Hazards","Protecting your business from disasters caused by natural hazards can involve a variety of actions, from inspecting and maintaining your buildings to installing protective devices. Most of these actions, especially those that affect the structure of your buildings or their utility systems, should be carried out by qualified maintenance staff or professional contractors licensed to work in your state, county, or city. One example of disaster protection is safely storing the important documents, electronic files, raw materials, and inventory required for the operation of your business.","Download File","Protect Your Business from All Natural Hazards
    Protecting your business from disasters caused by natural hazards can involve a variety of actions, from inspecting and maintaining your buildings to installing protective devices. Most of these actions, especially those that affect the structure of your buildings or their utility systems, should be carried out by qualified maintenance staff or professional contractors licensed to work in your state, county, or city. One example of disaster protection is safely storing the important documents, electronic files, raw materials, and inventory required for the operation of your business.
    
      
        Apr 20, 2021

      Download File","Building Science, Multi-Hazard, Earthquake, Flood","Community Planning & Policy",Publication
"Protect Your Property From Flooding: Anchor Fuel Tanks","One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.","Download File","Protect Your Property From Flooding: Anchor Fuel Tanks
    One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.
    
      
        Aug 30, 2022

      Download File","Building Science, Flood","Individuals & Homeowners",Publication
"Protect Your Property From Flooding: Build With Flood Damage Resistant Materials","One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.","Download File","Protect Your Property From Flooding: Build With Flood Damage Resistant Materials
    One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.

    
      
        Aug 30, 2022

      Download File","Building Science, Flood","Individuals & Homeowners",Publication
"Protect Your Property From Flooding: Install Sewer Backflow Valves","One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.","Download File","Protect Your Property From Flooding: Install Sewer Backflow Valves
    One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.

    
      
        Aug 30, 2022

      Download File","Building Science, Flood","Individuals & Homeowners",Publication
"Protect Your Property from Flooding: Mitigation for Homeowners","Mitigation for Homeowners Fact Sheet 2017",,"Protect Your Property from Flooding: Mitigation for Homeowners
    Mitigation for Homeowners Fact Sheet 2017
    
      
        Jan 14, 2022","Building Science, Flood, Mitigation","Community Planning & Policy","Fact Sheet"
"Protect Your Property From Flooding: Raise Electrical System Components","One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.","Download File","Protect Your Property From Flooding: Raise Electrical System Components
    One of four publications offering information on how protecting your property from flooding can involve a variety of actions, from inspecting and maintaining the building to installing protective devices.

    
      
        Aug 30, 2022

      Download File","Building Science, Flood","Individuals & Homeowners",Publication
"Protect Yourself During an Earthquake (FEMA P-1078)","Do you know what to do, wherever you are, when the earth shakes? The second edition to this poster provides visuals and descriptions on how you can protect yourself when an earthquake occurs.","Download File","Protect Yourself During an Earthquake (FEMA P-1078)
    Do you know what to do, wherever you are, when the earth shakes? The second edition to this poster provides visuals and descriptions on how you can protect yourself when an earthquake occurs.
    
      
        Aug 26, 2024

      Download File","Building Science, Earthquake","Individuals & Homeowners",Poster
"Provisions of the 2009 I-Codes and ASCE 24 Compared to the NFIP","This table is a comparison of the provisions of the 2009 I-Codes/ASCE 24-05 and the National Flood Insurance Program (NFIP) requirements.","Download File","Provisions of the 2009 I-Codes and ASCE 24 Compared to the NFIP 
    This table is a comparison of the provisions of the 2009 I-Codes/ASCE 24-05 and the National Flood Insurance Program (NFIP) requirements.
    
      
        Mar 31, 2021

      Download File","Building Science, Other Hazards, Flood","Building Professionals & Engineers",Code
"Rebuilding After a Wildfire Fact Sheet","Returning to your fire-damaged home will undoubtedly be an emotional experience. But as you go about the task of rebuilding, there are many ways to rebuild safer, stronger, smarter and more resilient to wildfires. The Federal Emergency Management Agency (FEMA) has teamed with Firewise Communities, the Federal Alliance for Safe Housing, and the Institute for Business and Home Safety to provide this resource for rebuilding after a fire.","Download File","Rebuilding After a Wildfire Fact Sheet
    Returning to your fire-damaged home will undoubtedly be an emotional experience. But as you go about the task of rebuilding, there are many ways to rebuild safer, stronger, smarter and more resilient to wildfires. The Federal Emergency Management Agency (FEMA) has teamed with Firewise Communities, the Federal Alliance for Safe Housing, and the Institute for Business and Home Safety to provide this resource for rebuilding after a fire. 
    
      
        Jan 14, 2022

      Download File","Building Science, Other Hazards","Individuals & Homeowners","Fact Sheet"
"Recommended Future Issues and Research Needs","As part of its efforts to regularly update the National Earthquake Hazards Reduction Program (NEHRP) Recommended Seismic Provisions for New Buildings and Other Structures, the Building Seismic Safety Council (BSSC) is charged by the Federal Emergency Management Agency (FEMA) to identify and recommend issues to be addressed and research needed to advance the state of the art of earthquake-resistant design and to serve as the basis for future refinement of the Provisions.","Download File","Recommended Future Issues and Research Needs
    As part of its efforts to regularly update the National Earthquake Hazards Reduction Program (NEHRP) Recommended Seismic Provisions for New Buildings and Other Structures, the Building Seismic Safety Council (BSSC) is charged by the Federal Emergency Management Agency (FEMA) to identify and recommend issues to be addressed and research needed to advance the state of the art of earthquake-resistant design and to serve as the basis for future refinement of the Provisions.
    
      
        Oct 15, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers","Publication, Report"
"Recommended Postearthquake Evaluation and Repair Criteria for Welded Steel Moment-Frame Buildings (FEMA-P-352)","This report provides recommendations for performing inspections to detect damage in steel moment-frame buildings following an earthquake; evaluating the damaged buildings’ safety in a postearthquake environment; and repairing damaged buildings. Chapters cover inspection and classification of damage; preliminary postearthquake assessment; detailed postearthquake evaluations; and postearthquake repair. The appendices include procedures for performance evaluation; sample placards that may be used to post buildings following preliminary postearthquake evaluations; and sample inspection forms that may be used to record damage detected in beam-column connections as part of a detailed postearthquake inspection program.","Download File","Recommended Postearthquake Evaluation and Repair Criteria for Welded Steel Moment-Frame Buildings (FEMA-P-352)
    This report provides recommendations for performing inspections to detect damage in steel moment-frame buildings following an earthquake; evaluating the damaged buildings’ safety in a postearthquake environment; and repairing damaged buildings. Chapters cover inspection and classification of damage; preliminary postearthquake assessment; detailed postearthquake evaluations; and postearthquake repair. The appendices include procedures for performance evaluation; sample placards that may be used to post buildings following preliminary postearthquake evaluations; and sample inspection forms that may be used to record damage detected in beam-column connections as part of a detailed postearthquake inspection program.
    
      
        May 11, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"Recommended Procedures for Flood Velocity Data Development","This report highlights recommended procedures for developing flood velocity data within the context of FEMA efforts related to the Risk MAP and Building Science Branch.","Download File","Recommended Procedures for Flood Velocity Data Development
    This report highlights recommended procedures for developing flood velocity data within the context of FEMA efforts related to the Risk MAP and Building Science Branch.
    
      
        Aug 30, 2022

      Download File","Building Science, Flood","Building Professionals & Engineers",Publication
"Reconstructing a Non-Residential Building After a Tornado (2021 Kentucky Tornadoes Recovery Advisory 2)","The purpose of this Recovery Advisory is to emphasize the importance of building codes and introduce best practices intended to minimize tornado damage as part of the rebuilding effort for non-residential buildings that are not essential facilities","Download File","Reconstructing a Non-Residential Building After a Tornado (2021 Kentucky Tornadoes Recovery Advisory 2)
     The purpose of this Recovery Advisory is to emphasize the importance of building codes and introduce best practices intended to minimize tornado damage as part of the rebuilding effort for non-residential buildings that are not essential facilities
    
      
        Jan 26, 2024

      Download File","2021 Kentucky Tornadoes, Disaster Support Program (MAT) Library, Building Science, High Winds, Mitigation Assessment Team, Tornado","Building Professionals & Engineers, Community Planning & Policy","Advisory, Fact Sheet, MAT Product"
"Reconstructing Non-Residential Buildings After a Tornado (Tornado Recovery Advisory 8)","The purpose of this advisory is to identify which standard of construction should be considered for repairing buildings damaged in high-wind events.","Download File","Reconstructing Non-Residential Buildings After a Tornado (Tornado Recovery Advisory 8)
    The purpose of this advisory is to identify which standard of construction should be considered for repairing buildings damaged in high-wind events.
    
      
        Jan 26, 2024

      Download File","Disaster Support Program (MAT) Library, Spring 2011 Tornadoes, Building Science, High Winds, Mitigation Assessment Team, Tornado","Building Professionals & Engineers","Advisory, MAT Product"
"Reducing Water Intrusion Through Windows and Doors (Hurricane Ian Recovery Advisory 3)","This Recovery Advisory provides important recommendations to reduce water intrusion through and around windows and doors due to wind-driven rain during extreme wind events.","Download File","Reducing Water Intrusion Through Windows and Doors (Hurricane Ian Recovery Advisory 3)
    This Recovery Advisory provides important recommendations to reduce water intrusion through and around windows and doors due to wind-driven rain during extreme wind events.
    
      
        Jan 26, 2024

      Download File","Disaster Support Program (MAT) Library, Hurricane Ian in Florida, Building Science, Flood, High Winds, Hurricane, Mitigation Assessment Team","Building Professionals & Engineers, Community Planning & Policy, Individuals & Homeowners","Advisory, MAT Product"
"Reducing Wildfire Risk to Your Home (Maui Wildfires Recovery Advisory #2)","Defensible space is an area with limited combustibles surrounding your home that helps to reduce the chance that your home will catch fire during a wildfire event. Defensible space is up to 100 feet from your home and slows or stops the progression of wildfire. Defensible space, coupled with structural hardening, is critical to increasing your home’s likelihood of surviving a wildfire.","Download File","Reducing Wildfire Risk to Your Home (Maui Wildfires Recovery Advisory #2)
    Defensible space is an area with limited combustibles surrounding your home that helps to reduce the chance that your home will catch fire during a wildfire event. Defensible space is up to 100 feet from your home and slows or stops the progression of wildfire. Defensible space, coupled with structural hardening, is critical to increasing your home’s likelihood of surviving a wildfire.
    
      
        Dec 3, 2024

      Download File","2023 Hawaii Wildfires, Disaster Support Program (MAT) Library, Building Science, Hawaii Wildfires, Mitigation Assessment Team, Wildfire","Building Professionals & Engineers, Community Planning & Policy, Individuals & Homeowners","Advisory, Fact Sheet"
"Reducing Wildfire Risk to Your Home Infographic","For most single-family homes, the exterior envelope of the building including roof, walls, windows, doors, trims, etc. is not typically required to be fire resistant. This means that most
homes are vulnerable to ignition to embers, flames and hot gases from wildfires or other burning  fuels nearby. This infographic helps you mitigate your risk.","Download File","Reducing Wildfire Risk to Your Home Infographic
    For most single-family homes, the exterior envelope of the building including roof, walls, windows, doors, trims, etc. is not typically required to be fire resistant. This means that most
homes are vulnerable to ignition to embers, flames and hot gases from wildfires or other burning  fuels nearby. This infographic helps you mitigate your risk.

    
      
        Dec 7, 2023

      Download File","Building Science, Mitigation Assessment Team, Wildfire","Individuals & Homeowners",Infographic
"Reducing “Loss of Utility” Impacts to Critical Facilities (Hurricane Ian Recovery Advisory 2)","This Recovery Advisory is intended for owners and operators of critical facilities; architects and engineers who design them; various state, local, tribal, and territorial planners; and emergency managers who deal with critical facilities whether in support of emergency preparedness, planning,  response, and disaster recovery efforts or administration of mitigation grants and operations.","Download File","Reducing “Loss of Utility” Impacts to Critical Facilities (Hurricane Ian Recovery Advisory 2)
    This Recovery Advisory is intended for owners and operators of critical facilities; architects and engineers who design them; various state, local, tribal, and territorial planners; and emergency managers who deal with critical facilities whether in support of emergency preparedness, planning,  response, and disaster recovery efforts or administration of mitigation grants and operations.
    
      
        Jan 26, 2024

      Download File","Disaster Support Program (MAT) Library, Hurricane Ian in Florida, Building Science, Flood, High Winds, Hurricane, Mitigation Assessment Team","Building Professionals & Engineers, Community Planning & Policy, Individuals & Homeowners","Advisory, MAT Product"
"Remaining slab of non-elevated structure from Hurricane Michael",,,"Remaining slab of non-elevated structure from Hurricane Michael
    
    
      
        Jul 22, 2024

      Download Photo","Building Science",,
"Renter's Guide to Prepare Financially for Earthquakes","This guide provides essential financial preparedness advice for renters in earthquake-prone areas. It covers the potential financial impacts of an earthquake. The guide outlines various financial tools renters can use for recovery, such as savings, insurance, loans, and disaster assistance, and emphasizes the importance of earthquake insurance and maintaining financial resilience before a disaster strikes.","Download File","Renter's Guide to Prepare Financially for Earthquakes
    This guide provides essential financial preparedness advice for renters in earthquake-prone areas. It covers the potential financial impacts of an earthquake. The guide outlines various financial tools renters can use for recovery, such as savings, insurance, loans, and disaster assistance, and emphasizes the importance of earthquake insurance and maintaining financial resilience before a disaster strikes.

    
      
        Oct 18, 2024

      Download File","Building Science, Earthquake","Homeowners & Renters",
"Repair of Earthquake-Damaged Masonry Fireplace Chimneys (FEMA P-1024-RA1)","On August 24, 2014, a magnitude-6.0 earthquake occurred in Napa, California. In response to this earthquake, the Special Projects task of the National Earthquake Technical Assistance Program (NETAP) was used to fund an investigation. At the time, this event had not yet been declared a federal disaster, and disaster funds were therefore not available. Because of limitations to this funding, some issues, such as performance of lifelines or building investigations in additional areas, could not be investigated. Past earthquakes in California have resulted in significant improvements to national and local building codes. For the 2014 South Napa earthquake, work was focused on documenting the observed performance of buildings and nonstructural components in order to lead into future improvements in future building codes, and to do so within six months.

Recovery Advisory 1 (RA1) is Appendix A of the FEMA P-1024 report. RA1 recommends best practices for reconstruction of earthquake‐damaged masonry chimneys in one‐and two‐family dwellings to minimize risk of damage in future earthquakes.","Download File","Repair of Earthquake-Damaged Masonry Fireplace Chimneys (FEMA P-1024-RA1)
    On August 24, 2014, a magnitude-6.0 earthquake occurred in Napa, California. In response to this earthquake, the Special Projects task of the National Earthquake Technical Assistance Program (NETAP) was used to fund an investigation. At the time, this event had not yet been declared a federal disaster, and disaster funds were therefore not available. Because of limitations to this funding, some issues, such as performance of lifelines or building investigations in additional areas, could not be investigated. Past earthquakes in California have resulted in significant improvements to national and local building codes. For the 2014 South Napa earthquake, work was focused on documenting the observed performance of buildings and nonstructural components in order to lead into future improvements in future building codes, and to do so within six months.

Recovery Advisory 1 (RA1) is Appendix A of the FEMA P-1024 report. RA1 recommends best practices for reconstruction of earthquake‐damaged masonry chimneys in one‐and two‐family dwellings to minimize risk of damage in future earthquakes.

    
      
        May 14, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"Residential Safe Room Fact Sheet","This fact sheet provide information about residential safe rooms and explains that a safe room is a room or structure specifically designed and constructed to resist wind pressures and wind-borne debris impacts during an extreme-wind event, like tornadoes and hurricanes, for the purpose of providing life-safety protection.","Download File","Residential Safe Room Fact Sheet
    This fact sheet provide information about residential safe rooms and explains that a safe room is a room or structure specifically designed and constructed to resist wind pressures and wind-borne debris impacts during an extreme-wind event, like tornadoes and hurricanes, for the purpose of providing life-safety protection.
    
      
        Apr 15, 2021

      Download File","Building Science, High Winds, Safe Room, Mitigation","Individuals & Homeowners","Fact Sheet"
"Residential Sheltering: In-Residence and Stand-Alone Safe Rooms (Tornado Recovery Advisory 3)","The purpose of this advisory is to inform homeowners, renters, apartment building owners, and manufactured home park owners about in-residence and stand-alone safe rooms.","Download File","Residential Sheltering: In-Residence and Stand-Alone Safe Rooms (Tornado Recovery Advisory 3)
    The purpose of this advisory is to inform homeowners, renters, apartment building owners, and manufactured home park owners about in-residence and stand-alone safe rooms.
    
      
        Jan 26, 2024

      Download File","Disaster Support Program (MAT) Library, Spring 2011 Tornadoes, Building Science, High Winds, Mitigation Assessment Team, Tornado",,Advisory
